,languages,num_speakers,low_eng_prof,speaker_perc,low_prof_perc,group_labels,subgroup_labels
181,..Inupik,6740,1365,2.312301482999702e-05,4.6829251102293675e-06,ALL OTHER LANGUAGES,.Other Native North American languages
182,..St. Lawrence Island Yupik,1070,285,3.670864372121189e-06,9.777535944434942e-07,ALL OTHER LANGUAGES,.Other Native North American languages
183,..Yupik,19750,5930,6.775660873775091e-05,2.0344136193157616e-05,ALL OTHER LANGUAGES,.Other Native North American languages
184,..Algonquian,1030,265,3.533635797462453e-06,9.091393071141262e-07,ALL OTHER LANGUAGES,.Other Native North American languages
185,..Arapaho,1065,50,3.6537108002888468e-06,1.7153571832342004e-07,ALL OTHER LANGUAGES,.Other Native North American languages
186,..Atsina,55,-1,1.8868929015576205e-07,-1.0,ALL OTHER LANGUAGES,.Other Native North American languages
187,..Blackfoot,1450,65,4.9745358313791815e-06,2.2299643382044607e-07,ALL OTHER LANGUAGES,.Other Native North American languages
188,..Cheyenne,1920,175,6.58697158361933e-06,6.003750141319702e-07,ALL OTHER LANGUAGES,.Other Native North American languages
189,..Cree,870,190,2.9847214988275087e-06,6.518357296289961e-07,ALL OTHER LANGUAGES,.Other Native North American languages
190,..Delaware,240,60,8.233714479524162e-07,2.0584286198810406e-07,ALL OTHER LANGUAGES,.Other Native North American languages
191,..Fox,400,75,1.3722857465873603e-06,2.573035774851301e-07,ALL OTHER LANGUAGES,.Other Native North American languages
192,..Kickapoo,820,220,2.813185780504089e-06,7.547571606230482e-07,ALL OTHER LANGUAGES,.Other Native North American languages
193,..Menomini,405,85,1.3894393184197024e-06,2.9161072114981405e-07,ALL OTHER LANGUAGES,.Other Native North American languages
194,..French Cree,170,120,5.832214422996281e-07,4.116857239762081e-07,ALL OTHER LANGUAGES,.Other Native North American languages
195,..Miami,115,55,3.945321521438661e-07,1.8868929015576205e-07,ALL OTHER LANGUAGES,.Other Native North American languages
196,..Micmac,205,40,7.032964451260222e-07,1.3722857465873605e-07,ALL OTHER LANGUAGES,.Other Native North American languages
197,..Ojibwa,9735,1110,3.339800435756988e-05,3.808092946779925e-06,ALL OTHER LANGUAGES,.Other Native North American languages
